,SPECOBJID,RA,DEC
506,b'    462824057973270528',44.798468,-0.91657578
507,b'    462829555531409408',44.580979,-0.66385875
508,b'    462852645275592704',45.033361,0.34845351
509,b'    462860616734894080',45.570822,0.56051158
510,b'    462888379403495424',45.883563,1.0544817
511,b'    462862816446015488',45.570822,0.56051158
512,b'    463946384433768448',46.891914,-0.31113495
513,b'    463981019050043392',47.409997,1.2021004
514,b'    463991739288414208',47.126402,0.22751454
515,b'    463995587579111424',47.782694,0.74804115
516,b'    464037094143059968',48.788038,1.0453009
517,b'    463946385440401408',46.891914,-0.31113495
518,b'    463981294934583296',47.409997,1.2021004
519,b'    463989266393884672',47.126402,0.22751454
520,b'    463994489074116608',47.782694,0.74804115
521,b'    464037919783413760',48.788038,1.0453009
522,b'    463993114768467968',47.782694,0.74804115
523,b'    463985968043550720',47.409997,1.2021004
524,b'    463988167066806272',47.126402,0.22751454
525,b'    463993114869131264',47.782694,0.74804115
526,b'    463945016151140352',46.891914,-0.31113495
527,b'    463981300034856960',47.409997,1.2021004
528,b'    463989271494158336',47.126402,0.22751454
529,b'    463995043930204160',47.782694,0.74804115
530,b'    463947490303961088',46.891914,-0.31113495
531,b'    463983499309770752',47.409997,1.2021004
532,b'    463991470769072128',47.126402,0.22751454
533,b'    463995044181862400',47.782694,0.74804115
534,b'    464036825623717888',48.788038,1.0453009
535,b'    463946390859442176',46.891914,-0.31113495
536,b'    463983499376879616',47.409997,1.2021004
537,b'    463991470836180992',47.126402,0.22751454
538,b'    463996143760599040',47.782694,0.74804115
539,b'    464036275935012864',48.788038,1.0453009
540,b'    463914505089345536',47.957156,-0.15692942
541,b'    463943092391667712',46.891914,-0.31113495
542,b'    463983499443988480',47.409997,1.2021004
543,b'    463989271880034304',47.126402,0.22751454
544,b'    463995044316080128',47.782694,0.74804115
545,b'    464037100635842560',48.788038,1.0453009
546,b'    465020331577337856',50.060243,-1.225515
547,b'    465148974437787648',50.312439,0.26765078
548,b'    465014560953231360',50.760966,-0.33201945
549,b'    465019508755556352',50.060243,-1.225515
550,b'    465145952592750592',50.312439,0.26765078
551,b'    466207804940642304',50.494662,-0.27756674
552,b'    466243813946451968',51.662125,0.88843019
553,b'    466287794411563008',52.404782,1.2210573
554,b'    466201758163560448',50.494662,-0.27756674
555,b'    466265529837971456',51.662125,0.88843019
556,b'    466293567384479744',52.404782,1.2210573
557,b'    467374112067577856',53.55506,1.1461296
558,b'    467419741800130560',54.866989,0.40255506
